user_id,music_id,grade,created_at
1,1046,2.0,2022-11-04 10:14:49.173067
1,103,3.5,2022-11-04 10:14:49.173067
1,116,4.0,2022-11-04 10:14:49.173067
1,630,2.5,2022-11-04 10:14:49.173067
1,557,5.0,2022-11-04 10:14:49.173067
1,1365,1.5,2022-11-04 10:14:49.173067
1,718,4.0,2022-11-04 10:14:49.173067
1,1381,1.5,2022-11-04 10:14:49.173067
1,672,2.5,2022-11-04 10:14:49.173067
1,922,2.5,2022-11-04 10:14:49.173067
1,299,1.5,2022-11-04 10:14:49.173067
1,126,5.0,2022-11-04 10:14:49.173067
1,118,2.5,2022-11-04 10:14:49.173067
1,180,3.0,2022-11-04 10:14:49.173067
1,967,4.5,2022-11-04 10:14:49.173067
1,237,4.5,2022-11-04 10:14:49.173067
1,1286,2.5,2022-11-04 10:14:49.173067
1,15,2.0,2022-11-04 10:14:49.173067
1,853,1.0,2022-11-04 10:14:49.173067
2,728,2.0,2022-11-04 10:14:49.173067
2,757,1.0,2022-11-04 10:14:49.173067
2,897,4.0,2022-11-04 10:14:49.173067
2,864,5.0,2022-11-04 10:14:49.173067
2,711,4.5,2022-11-04 10:14:49.173067
2,1295,2.0,2022-11-04 10:14:49.173067
2,1120,3.0,2022-11-04 10:14:49.173067
2,168,5.0,2022-11-04 10:14:49.173067
2,1135,3.5,2022-11-04 10:14:49.173067
2,749,2.5,2022-11-04 10:14:49.173067
2,265,5.0,2022-11-04 10:14:49.173067
2,317,1.5,2022-11-04 10:14:49.173067
2,1413,3.5,2022-11-04 10:14:49.173067
2,446,1.0,2022-11-04 10:14:49.173067
2,545,4.0,2022-11-04 10:14:49.173067
2,1327,2.0,2022-11-04 10:14:49.173067
2,400,2.0,2022-11-04 10:14:49.173067
2,816,5.0,2022-11-04 10:14:49.173067
3,81,3.5,2022-11-04 10:14:49.173067
3,10,3.0,2022-11-04 10:14:49.173067
3,346,2.5,2022-11-04 10:14:49.173067
3,375,3.5,2022-11-04 10:14:49.173067
3,1021,2.5,2022-11-04 10:14:49.173067
3,1230,1.5,2022-11-04 10:14:49.173067
3,1277,2.5,2022-11-04 10:14:49.173067
3,281,5.0,2022-11-04 10:14:49.173067
3,745,4.5,2022-11-04 10:14:49.173067
3,416,3.5,2022-11-04 10:14:49.173067
3,425,4.0,2022-11-04 10:14:49.173067
3,449,3.5,2022-11-04 10:14:49.173067
3,1444,5.0,2022-11-04 10:14:49.173067
3,548,5.0,2022-11-04 10:14:49.173067
3,401,3.5,2022-11-04 10:14:49.173067
3,1361,5.0,2022-11-04 10:14:49.173067
4,319,1.5,2022-11-04 10:14:49.173067
4,857,4.5,2022-11-04 10:14:49.173067
4,946,4.0,2022-11-04 10:14:49.173067
4,409,4.0,2022-11-04 10:14:49.173067
4,957,5.0,2022-11-04 10:14:49.173067
4,630,1.0,2022-11-04 10:14:49.173067
4,303,2.5,2022-11-04 10:14:49.173067
4,125,4.0,2022-11-04 10:14:49.173067
4,706,2.5,2022-11-04 10:14:49.173067
4,327,4.5,2022-11-04 10:14:49.173067
4,1275,5.0,2022-11-04 10:14:49.173067
4,628,3.5,2022-11-04 10:14:49.173067
4,1050,3.5,2022-11-04 10:14:49.173067
4,160,2.0,2022-11-04 10:14:49.173067
4,387,5.0,2022-11-04 10:14:49.173067
4,792,1.0,2022-11-04 10:14:49.173067
4,853,4.0,2022-11-04 10:14:49.173067
4,1105,2.5,2022-11-04 10:14:49.173067
5,1281,4.5,2022-11-04 10:14:49.173067
5,1218,4.0,2022-11-04 10:14:49.173067
5,1220,3.0,2022-11-04 10:14:49.173067
5,43,3.5,2022-11-04 10:14:49.173067
5,1167,2.5,2022-11-04 10:14:49.173067
5,541,1.0,2022-11-04 10:14:49.173067
5,203,3.0,2022-11-04 10:14:49.173067
