id,title,artist,album,image,track_id
0,Nxde,(G)I-DLE,I love,https://i.scdn.co/image/ab67616d00001e02ac815bdd584468a7aa0216e1,6NnCWIWV740gP7DQ8kqdIE
1,New thing (Prod. ZICO) (Feat. Homies),Various Artists,Street Man Fighter Original Vol.3 (Mission by Rank),https://i.scdn.co/image/ab67616d00001e025c2efa8ce12c99a92b914e20,5mdWIwsJAzR97ShGkt8gcR
2,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,0a4MMyCrzT0En247IhqZbD
3,After LIKE,IVE,After LIKE,https://i.scdn.co/image/ab67616d00001e0287f53da5fb4ab1171766b2d5,2gYj9lubBorOPIVWsTXugG
4,Shut Down,BLACKPINK,BORN PINK,https://i.scdn.co/image/ab67616d00001e024aeaaeeb0755f1d8a8b51738,0ARKW62l9uWIDYMZTUmJHF
5,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,https://i.scdn.co/image/ab67616d00001e027968a5fd0be134742699910e,5aucVLKiumD89mxVCB4zvS
6,Attention,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,2pIUpMhHL6L9Z5lnKxJJr9
7,Pink Venom,BLACKPINK,Pink Venom,https://i.scdn.co/image/ab67616d00001e02797b37e01334a0897825d8b1,0skYUMpS0AcbpjcGsAbRGj
8,LOVE DIVE,IVE,LOVE DIVE,https://i.scdn.co/image/ab67616d00001e029016f58cc49e6473e1207093,0Q5VnK2DYzRyfqQRJuUtvi
9,SNEAKERS,ITZY,CHECKMATE,https://i.scdn.co/image/ab67616d00001e02e61bca92e4a64e50ee44a009,2WoluqyWzsgRmFCeHeGlnm
10,At That Moment,WSG WANNABE,WSG WANNABE 1st Album,https://i.scdn.co/image/ab67616d00001e02804748a57bf784af6ec1fc7d,0CB3B5ir8I2KbB3dkGVtWF
11,DICE,NMIXX,ENTWURF,https://i.scdn.co/image/ab67616d00001e02c8caa659d37a00d34cbd6359,1QpwvWMQGdOgA8MXXfgs4H
12,Event Horizon,Younha,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://i.scdn.co/image/ab67616d00001e022918f236448bf544586e388a,6RBziRcDeiho3iTPdtEeg9
13,POP!,NAYEON,IM NAYEON,https://i.scdn.co/image/ab67616d00001e025fb4a9cfbeb3b7beb337ed02,3lOMJTQTd6J34faYwASc33
14,CASE 143,Stray Kids,MAXIDENT,https://i.scdn.co/image/ab67616d00001e0285bcbbac459056ad6ee9426b,3O8G8eVrhfXTGttyQ1xVuq
15,I Missed You,WSG WANNABE,WSG WANNABE 1st Album,https://i.scdn.co/image/ab67616d00001e02804748a57bf784af6ec1fc7d,20SIjymeaQNEv0NkPLpa6N
16,Braindead,Sion,Braindead,https://i.scdn.co/image/ab67616d00001e02511630f7ffd43c28513762b5,10qiH1RJkexhTUuN562FsP
17,Illusion,aespa,Illusion,https://i.scdn.co/image/ab67616d00001e02bbcfc52e0e8f3cecfc91520f,5uFqjHOo3Sh0bVPCKf3DdH
18,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,2DwUdMJ5uxv20EhAildreg
19,Girls,aespa,Girls - The 2nd Mini Album,https://i.scdn.co/image/ab67616d00001e02b3be3b970fc89a02f301c9da,2WTHLEVjfefbGoW7F3dXIg
20,FOREVER 1,Girls' Generation,FOREVER 1 - The 7th Album,https://i.scdn.co/image/ab67616d00001e02aea29200523b1ee4d5b2c035,1oen3GpTcA486fTHaT7neg
21,28 Reasons,SEULGI,28 Reasons - The 1st Mini Album,https://i.scdn.co/image/ab67616d00001e028bc3d61189d95da5f74d7ba7,1dfsPqH09vnzUWEOsN98Ex
22,MR. BAD (Feat. Woo),pH-1,MR. BAD,https://i.scdn.co/image/ab67616d00001e023a42eeff11d810afe59760f3,5KkAIk1aWPPIWIkSGnEmJg
23,My pleasure Is That You Ride The Bentley,Kim Seungmin,PROTOTYPE RESEARCH #0063,https://i.scdn.co/image/ab67616d00001e02bf55580ea719aa52c2bbece7,41HriGdYdajxCJIOMiIBWs
24,Hurt,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,5expoVGQPvXuwBBFuNGqBd
25,FEARLESS,LE SSERAFIM,FEARLESS,https://i.scdn.co/image/ab67616d00001e029030184114911536d5f77555,296nXCOv97WJNRWzIBQnoj
26,Sparkling,CHUNG HA,"Bare&Rare, Pt. 1",https://i.scdn.co/image/ab67616d00001e02c6ad5e75094c1e7342038801,34lKiKHCKhMe9PAfGcdFNE
27,That That (prod. & feat. SUGA of BTS),PSY,PSY 9th,https://i.scdn.co/image/ab67616d00001e023c561c7ab743a3eae304374d,7GNRUsU3M4XNDDB9xle5Dz
28,Clink Clink,WSG WANNABE,WSG WANNABE 1st Album,https://i.scdn.co/image/ab67616d00001e02804748a57bf784af6ec1fc7d,7rvgQ3kGUqwVkt0V5JpPeT
29,Yet To Come,BTS,Proof,https://i.scdn.co/image/ab67616d00001e0217db30ce3f081d6818a8ad49,10SRMwb9EuVS1K9rYsBfHQ
30,Reference,Lee Mujin,Room Vol.1,https://i.scdn.co/image/ab67616d00001e026cf5884fe7082340ee28401a,2PmLP4DNUPJC98L78mrkal
31,Life's Too Short (English Version),aespa,Life's Too Short,https://i.scdn.co/image/ab67616d00001e02eb9bc74e6ced59a2638898b0,2mgzUVvDpb1zMSB4glLQ6T
32,Complex (Feat. ZICO),BE'O,FIVE SENSES,https://i.scdn.co/image/ab67616d00001e02da1bd9b461f00c99d9b4fe94,07trPhWMgiagFnSOlmpzl0
33,TOMBOY,(G)I-DLE,I NEVER DIE,https://i.scdn.co/image/ab67616d00001e02c7b6b2976e38a802eebff046,0IGUXY4JbK18bu9oD4mPIm
34,Beyond Love (Feat. 10CM),BIG Naughty,Beyond Love,https://i.scdn.co/image/ab67616d00001e024ed336d1298bd24caa4a7b0e,0HsRZwZzHoZ5AM5W2ZYI5c
35,Still Life,BIGBANG,Still Life,https://i.scdn.co/image/ab67616d00001e02eb136d1be54b1ef8273c0699,3TSLqZssCoCdDlMhCJ08XW
36,Heart Burn,SUNMI,Heart Burn,https://i.scdn.co/image/ab67616d00001e02b78e41dc88b7ddda60738c9d,4JmbtS0Muijl37KP9lDscy
37,Go Back,Jvcki Wai,Go Back,https://i.scdn.co/image/ab67616d00001e02a3d5c28c3be5cff289f58df2,4WRzvrqXTdzpEB6KaO1Oqh
38,Beatbox,NCT DREAM,Beatbox - The 2nd Album Repackage,https://i.scdn.co/image/ab67616d00001e024fbde4c63b86079e0517b1cb,0CatzXH85XWyBqqdB6qPMB
39,HOT,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',https://i.scdn.co/image/ab67616d00001e02decd839dd4fef3faf64c5fd5,6I2tqFhk8tq69iursYxuxd
40,Dear my X,KyoungSeo,Dear my X,https://i.scdn.co/image/ab67616d00001e029659451f3c10481af6a4587e,0UnOf7i44YK0ULpkEGHe4R
41,GANADARA (Feat. IU),Jay Park,GANADARA,https://i.scdn.co/image/ab67616d00001e028c0defcb336a0296eb7d704a,5quFr5s5PXYfUX5jV2EBZ1
42,SMILEY(Feat. BIBI),YENA,ˣ‿ˣ (SMiLEY),https://i.scdn.co/image/ab67616d00001e02a435b6276480ed558eece0fd,4zCIxSnVWpGNghERX4uWZF
43,If We Ever Meet Again,Lim Young Woong,IM HERO,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2RLdkXSaiQjRbey5pvP8Kt
44,LOVE me,BE'O,LOVE me,https://i.scdn.co/image/ab67616d00001e022ba3a19b8e9de814538577e3,3oiMjDZ1bShIpFfOQf55IW
45,Feel My Rhythm,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,https://i.scdn.co/image/ab67616d00001e028c4a282e84a53c1c8acf129a,2oBMZYteeO8DyXV9gDx6Za
46,"Romance Symphony (Feat. CHANGMO, Jay Park)",BIG Naughty,NANGMAN,https://i.scdn.co/image/ab67616d00001e02f7f424835917fbc40ca79456,3bUD1FmJClHcD0U7rIN0TR
47,Savage,aespa,Savage - The 1st Mini Album,https://i.scdn.co/image/ab67616d00001e02d8cc2281fcd4519ca020926b,3dbLT62Cvs46Ju7a8gpr36
48,RUN2U,STAYC,YOUNG-LUV.COM,https://i.scdn.co/image/ab67616d00001e028ea860a3e6904b875629d672,3gFcGnU4kTdMYLXDjH1TK8
49,ELEVEN,IVE,ELEVEN,https://i.scdn.co/image/ab67616d00001e02da343b21617aac0c57e332bb,7n2FZQsaLb7ZRfRPfEeIvr
50,Step Back,GOT the beat,Step Back,https://i.scdn.co/image/ab67616d00001e02cc6f76f75551af499b5cd0cb,3LCwQoTrdQgHsGJE5gGVqx
51,Next Level,aespa,Next Level,https://i.scdn.co/image/ab67616d00001e027a393b04e8ced571618223e8,2zrhoHlFKxFTRF5aMyxMoQ
52,Nxde,(G)I-DLE,I love,https://i.scdn.co/image/ab67616d00001e02ac815bdd584468a7aa0216e1,6NnCWIWV740gP7DQ8kqdIE
53,New thing (Prod. ZICO) (Feat. Homies),Various Artists,Street Man Fighter Original Vol.3 (Mission by Rank),https://i.scdn.co/image/ab67616d00001e025c2efa8ce12c99a92b914e20,5mdWIwsJAzR97ShGkt8gcR
54,Anti-Hero,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5,0V3wPSX9ygBnCm8psDIegu
55,After LIKE,IVE,After LIKE,https://i.scdn.co/image/ab67616d00001e0287f53da5fb4ab1171766b2d5,2gYj9lubBorOPIVWsTXugG
56,Shut Down,BLACKPINK,BORN PINK,https://i.scdn.co/image/ab67616d00001e024aeaaeeb0755f1d8a8b51738,0ARKW62l9uWIDYMZTUmJHF
57,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,0a4MMyCrzT0En247IhqZbD
58,Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),https://i.scdn.co/image/ab67616d00001e02a935e4689f15953311772cc4,3nqQXoyQOWXiESFLlDF1hG
59,Event Horizon,Younha,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://i.scdn.co/image/ab67616d00001e022918f236448bf544586e388a,6RBziRcDeiho3iTPdtEeg9
60,Attention,NewJeans,NewJeans 1st EP 'New Jeans',https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,2pIUpMhHL6L9Z5lnKxJJr9
61,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,https://i.scdn.co/image/ab67616d00001e027968a5fd0be134742699910e,5aucVLKiumD89mxVCB4zvS
